record_id	title_original	source_deposit	translation_status	notes
obi-v01-n0149-ob-p0251	သင်္ဃိုင် ဗုဒ္ဓရံသိ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0150-tx-p0253	သိခင်မြင်းခုန်တိုင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0151-ob-p0255	မန္တလေးနန်းတွင်းရုံကျောက်စာတိုင်အမှတ် ၃၂၄ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0152-ob-p0255	သူကြွယ် ငါလွယ့်သင်မယားနှင့် ခင်ပသင်ငါယ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0153-ob-p0256	ကစ္စ်ပိုလ်လင်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0154-ob-p0257	မင်းဆရာ ပိတရစ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0155-ob-p0259	သူကြွယ် ငစွယ်သင် မောင်နှံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0156-tx-p0260	ရတနာကုံထန် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0156-tx-p0262	ရတနာကုံထန် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0157-ob-p0263	သူကြွယ် ငါစပါသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0158-re-p0264	ငါစုံသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0158-tx-p0265	ငါစုံသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0159-ob-p0265	မင်းသား ထောက်လှော်ကား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0160-ob-p0267	ဇေယျသွတ်ဘုရား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0161-ob-p0270	ငမျင်ခင် ည္အ်စ်ကိုကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0162-tx-p0272	အိုပ္လည်ဝသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0163-re-p0273	မဟာသေနာပတိ အနန္တသူ၊ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0164-ob-p0274	ငါပေါင်သင်နှင့် ငါမ္လိယ်သင်တို့ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0165-re-p0275	ဇေယျသွတ်ဘုရား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0166-ob-p0278	မင်းရာဇသူရကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0166-re-p0281	မင်းရာဇသူရကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0167-ob-p0282	မင်းရာဇသူကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0168-re-p0284	မင်းရာဇသူ လင်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0169-ob-p0287	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0170-ob-p0289	သီရိမဟာဓမ္မရာဇပဏ္ဍိတ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0170-re-p0289	သီရိမဟာဓမ္မရာဇပဏ္ဍိတ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0171-ob-p0290	မန္တလေး နန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၃၅၄ ကျောက်နှစ်	zenodo_4321314	not_started	
obi-v01-n0172-ob-p0291	ရာဇသူရ သမီးမောင်နှံ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0172-re-p0294	ရာဇသူရ သမီးမောင်နှံ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0173-ob-p0298	သိခင်မဟာထေရ် သုန္ဒရကဝိ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0174-ob-p0298	အမတ် အသဝတ်ဓမ္မာ မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0174-re-p0300	အမတ် အသဝတ်ဓမ္မာ မယား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0175-ob-p0302	ဥတ်တြာကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0176-tx-p0302	ငကြီသင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0177-ob-p0304	ငါတင်သင် ယောက်ခမ စသောသူတို့ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0178-tx-p0305	ငါဆုသင် မောင်နှံ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0179-tx-p0306	အမတ် ညာဏပိစည်း ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0180-ob-p0309	မဟာ ကဿပကျောင်းကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0181-ob-p0311	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0181-re-p0313	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	zenodo_4321314	not_started	
