raw_reference_string	occurrence_count
BA-60; List 194; IOB1-53 BED B 586-5; Pl. I 53; OBI 1, p. 168; List 194; A, p. 60	1
BA-61; List-198; IOB5-574/b	1
BA-62; List-202	1
BA-63; List-201 BED B 598-10; OBI 1, p. 377; List 202; A, p. 62; MP 1, p. 77; OBI 1, p. 379; List 201; A, p. 63; co pies List 225; B 2, p. 842; MM 3, no. 41, p. 172 (2nd and 3rd inscr.); OR 6452 B (1), no. 32; List 226; B 2, p. 847; MM 3, no. 42, p. 175; MM 3, no. 43, p. 183	1
BA-66,; List-233,; IOB2-128 BED B 597-6; Pl. II 128a; OBI 1, p. 263; List 232; A, p. 66	1
BA-67; List-232; IOB2-128 BED B 597-7; Pl. II 128b+c; OBI 1, p. 264; List 233	1
BA-68; List 238; IOB1-95/a BED B 598-8; Pl. I 95a; OBI 1, p. 298; List 238; A p. 68	1
BA-70; List 243; IOB1-55/b BED B 599-1; Pl. I 55b; OBI 1, p. 302; List 243; A, p. 70	1
BA-71; List-248 BED B 600-1; List 248; OBI 1, p. 381; A, p. 71; MP 1, p. 97	1
BA-72; List-368/a; IOB3-257 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-75; List-249; IOB2 132/b BED B 601-2; Pl. II 132b; OBI 2, p. 4; List 249; A, p. 75; copy List 918; B 2, p. 665 (first part)	1
BA-79; List-255; IOB2-201/b BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-7; List-346/a BED B 429-1; List 346; OBI 1, p. 322; A, p. 7; copy List 114; A, p. 8; MM 1, no. 34, p. 306 (= B 2, p. 804 ?)	1
BA-80; List-91 BED B 534-2; List 91; OBI 1, p. 343; A, p. 80; TN	1
BA-81; List-264/a; IOB2-149 BED B 604-10; Pl. II 149; OBI 2, p. 56; UEM no. 45, p. 120; List 264a; A, p. 81	1
BA-82; List-264/b; IOB5-482/a	1
BA-83; List 271; IOB3-333 BED B 608-1 & B 626-3; Pl. III 333; OBI 2, p. 83; List 271a+b; A, p. 83	1
BA-85; List-274; IOB2-161/a BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-86; List-280; IOB2-165/b BED B 600-7; OBI 2, p. 1; RDASB 1971	1
BA-88; List-284; IOB3-230 BED B 632-3; Pl. III 230; OBI 4, p. 171; List 284; A, p. 88	1
BA-90; List-633/a; IOB3-226 BED B 624-1; Pl. II 202; OBI 3, p. 5; List 308; A, p. 101; MP, p. 107	1
BA-93; List-286; IOB2 177/b BED B 602-1; Pl. II 136; OBI 2, p. 15; List 253; UB 1, p. 297	1
BA-97 & 492; List-293 & 1352; IOB2-214/a & IOB5-579 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-98; List-392/a; IOB2-196 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-99; List-392/b; IOB3-279 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BED A; OBI 1, p. 127	1
BED B 481-1; OBI 1, p. 333; MP 1, p. 29	1
BED B 512-1; OBI 1, p. 25	1
BED B 512-4; OBI 1, p. 337	1
BED B 530-3; OBI 1, p. 34	1
BED B 532-1; OBI 1, p. 37	1
BED B 538-1; OBI 1, p. 345	1
BED B 545-1; List 111; OBI 1, p. 330; A, p. 19; MM 2, nos. 42-43, p. 168-172; MP 1, p. 17; Luce C 570	1
BED B 557-5; OBI 1, p. 365; RDASB 1963, no. 6, p. 25	1
BED B 558-2; OBI 1, p. 57	1
BED B 559-2; OBI 1, p. 59	1
BED B 567-1; OBI 1, p. 375	1
BED B 570-3; Pl. V 573a; OBI 2, p. 207; OBI 1, p. 90	1
BED B 577-1; OBI 1, p. 106; Luce G 1899; ARASI 1936-37, p. 116	1
BED B 584-1; OBI 1, p. 138; MP 1, p. 45	1
BED B 586-4; Pl. II 124a; OBI 1, p. 167; RDASB 1947	1
BED B 586-8; Pl. I 52; OBI 1, p. 172	1
BED B 587-2a; Pl. V 597a-b; OBI 1, p. 175; List 1388a+b; A, p. 532; Luce D 809	1
BED B 587-2b; Pl. V 597a-b; OBI 1, p. 175; List 1388a+b; A, p. 532; Luce D 809	1
BED B 587-7; OBI 1, p. 185; RDASB 1962 (?1961); U Hswai, JBRS 48 (2), 1965, p. 67, no. 7	1
BED B 588-4; Pl. V 574b; OBI 1, p. 190; List 198; A, p. 61; MP 1, p. 81; OBI 1, p. 376; RDASB 1965, p. 34, no. 2; U Min Hswe, no. 32	1
BED B 591-6; Pl. I 98; OBI 1, p. 209; UEM no. 37 p. 102; List 479; PPA, p. 320	1
BED B 593-3; Pl. I 67; OBI 1, p. 220; Luce 2829; U Min Hswe, no. 58	1
BED B 594-5; OBI 1, p. 227; List 1437	1
BED B 595-11; Pl. I 95b; OBI 1, p. 244	1
BED B 595-7; Pl. IV 373b; OBI 1, p. 251	1
BED B 595-8; Pl. I 99; OBI 1, p. 253; UEM no. 37, p. 104; List 479; PPA, p. 310; TN, p. 143	1
BED B 597-11; OBI 1, p. 273 (not listed ?!); copy List 486; B 2, p. 747	1
BED B 597-12; Pl. I 90; OBI 1, p. 267; SIP no. 22, p. 45; List 230; UB 1, p. 178; in situ	1
BED B 597-3; Pl. I 85; OBI 1, p. 257; UEM no. 33, p. 91; List 231; PPA, p. 177; TN, p. 84; U Min Hswe, no. 40	1
BED B 598-6a; OBI 1, p. 289; Luce J 2667; RDASB 1954	1
BED B 602-1; Pl. II 136; OBI 2, p. 15; List 253; UB 1, p. 297	1
BED B 602-5; OBI 2, p. 21; RDASB 1963, p. 27, no. 16	1
BED B 603-2; Pl. III 318a+b; OBI 2, p. 22	1
BED B 603-4; Pl. II 148a; OBI 2, p. 27; UEM no. 49, p. 137; List 258 (rev.)	1
BED B 604-6; Pl. II 148b; OBI 2, p. 51; UEM no. 49, p. 139; List 258; PPA, p. 242; TN, p. 111	1
BED B 604-9; Pl. II 142; OBI 2, p. 54	1
BED B 609-2; Pl. IV 377b; OBI 2, p. 87	1
BED B 612-1; Pl. II 177a; OBI 2, p. 155; List 285; A, p. 89	1
BED B 620-3; OBI 2, p. 193	1
BED B 622-12; OBI 4, p. 235; Luce files G 1763	1
BED B 628-7; Pl. IV 382; OBI 4, p. 191; List 748; UB 1, p. 221	1
BED B 711-1; OBI 4, p. 81	1
BM1-184; List-638; IOB5-545/b	1
BM1-250,; List-1043-1044	1
BM1-262+270	1
BM1-270 + 279	1
BM1-351-352; List-448 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BM1-380	1
BM1-381	1
BM1-420; BM2-760; List-157, 156 BED B 562-5; List 156-157; OBI 1, p. 371; B 2, p. 76; B 1, p. 420; B 2, p. 760	1
BM1-72; List-30 BED B 447-1; List 30; OBI 1, p. 325; B 2, p. 72; MM 1, no. 15, p. 136; List 31; MM 1, no. 16, p. 140; another copy MM 4, no. 9, p. 44	1
BM1184; List-638	1
BM2-768; List 106; IOB1-7 BED B 543-1; Pl. I 7; OBI 1, p. 43; copy List 106; B 2, p. 768; MM 2, no. 36, p. 144; ARASI 1921-22, p. 35 and pl. 19a; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 65	1
BM2-830, 838; BA 1, 9; List 23, 27 BED B 420-2; List 23; OBI 1, p. 321; B 2, p. 830; A, p.1; MP 1, p. 21; List 27; B 2, p. 838; A, p. 9; MM 2, no. 4, p. 8; copy List 5; B 2, p. 830; MM 2, no. 1, p. 1; another copy MM 4, no. 20, p. 90	1
Htupayon1 p.249,; IUB1 p.140	1
IOB--278 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
IOB1-100/a BED B 597-10; Pl. I 100a; OBI 1, p. 272; UEM, no. 37, p. 105; List 479; PPA, p. 310; TN, p. 143	1
IOB1-100/b BED B 599-2; Pl. I 100b; OBI 1, p. 302; UEM no. 37, p. 106; List 479; PPA, p. 310; TN, p. 143	1
IOB1-106 BED B 509-1; Pl. I 106-107; OBI 1, p. 20	1
IOB1-107	1
IOB1-108/a BED B 567-6; Pl. I 108a; OBI 1, p. 86; copy List 427; B 2, p. 792	1
IOB1-108/b BED B 585-2; Pl. I 108b; OBI 1, p. 141	1
IOB1-109/a BED B 598-7; Pl. I 109a; OBI 1, p. 290; List ???	1
IOB1-109/b BED B 596-2; Pl. I 109b; OBI 1, p. 255	1
IOB1-118/b BED B 579-1; Pl. II 118a; OBI 1, p. 118	1
IOB1-32, 33 BED B 570-2; Pl. II 118a; OBI 1, p. 89; U Hswai, JBRS 48 (2), 1965, p. 67, no. 5	1
IOB1-33	1
