record_id	source_field	label_original	place_id
obi-v01-n0071-ob-p0112	place_of_origin_original	Bagan (perhaps Winidho complex)	place-bagan-perhaps-winidho-complex
obi-v01-n0071-ob-p0112	current_location_original	Bagan Museum stone 74	place-bagan-museum-stone-74
obi-v01-n0072-ob-p0116	place_of_origin_original	“from a monastery NE of Mingalazedi”, Bagan	place-from-a-monastery-ne-of-mingalazedi-bagan
obi-v01-n0072-ob-p0116	current_location_original	Bagan Museum stone 83 = New Bagan Museum stone G	place-bagan-museum-stone-83-new-bagan-museum-stone-g
obi-v01-n0073-ob-p0117	place_of_origin_original	?	place-unknown
obi-v01-n0073-ob-p0117	current_location_original	Mandalay Palace stone 296 and 422	place-mandalay-palace-stone-296-and-422
obi-v01-n0074-ob-p0118	place_of_origin_original	?	place-unknown
obi-v01-n0074-ob-p0118	current_location_original	from Amarapura, stone lost	place-from-amarapura-stone-lost
obi-v01-n0075-tx-p0118	place_of_origin_original	Pakhan-gyi	place-pakhan-gyi
obi-v01-n0075-tx-p0118	current_location_original	in situ	place-in-situ
obi-v01-n0076-ob-p0119	place_of_origin_original	Nga-man-aung temple, between Yelay village and Nyisu village, Sale	place-nga-man-aung-temple-between-yelay-village-and-nyisu-village-sale
obi-v01-n0076-ob-p0119	current_location_original	in situ	place-in-situ
obi-v01-n0077-ob-p0121	place_of_origin_original	Mintha-gu, Sale	place-mintha-gu-sale
obi-v01-n0077-ob-p0121	current_location_original	in situ	place-in-situ
obi-v01-n0078-ob-p0123	place_of_origin_original	Kyokya village, near Shwebo	place-kyokya-village-near-shwebo
obi-v01-n0078-ob-p0123	current_location_original	in situ	place-in-situ
obi-v01-n0079-ob-p0124	place_of_origin_original	Kunsingyay-pya thad-hla (Kwan-caṅ-kray-prasād-lha), Minnanthu, Bagan	place-kunsingyay-pya-thad-hla-kwan-ca-kray-pras-d-lha-minnanthu-bagan
obi-v01-n0079-ob-p0124	current_location_original	in situ	place-in-situ
obi-v01-n0080-ob-p0125	place_of_origin_original	Kyundaw village (old name Pyi-daw tha), Magwe distr.	place-kyundaw-village-old-name-pyi-daw-tha-magwe-distr
obi-v01-n0080-ob-p0125	current_location_original	now at Sway-taw-paya, Kyundaw village	place-now-at-sway-taw-paya-kyundaw-village
obi-v01-n0081-ob-p0125	place_of_origin_original	Winidho complex, Bagan	place-winidho-complex-bagan
obi-v01-n0081-ob-p0125	current_location_original	Bagan Museum stone 75	place-bagan-museum-stone-75
obi-v01-n0082-ob-p0127	place_of_origin_original	“found in a bomb-crater near Tuyindaung Swidaw zedi”, Bagan	place-found-in-a-bomb-crater-near-tuyindaung-swidaw-zedi-bagan
obi-v01-n0082-ob-p0127	current_location_original	Bagan Museum stone 133	place-bagan-museum-stone-133
obi-v01-n0082-re-p0127	place_of_origin_original	Mt. Tuyin, Bagan	place-mt-tuyin-bagan
obi-v01-n0082-re-p0127	current_location_original	Bagan Museum stone 133	place-bagan-museum-stone-133
obi-v01-n0083-ob-p0128	place_of_origin_original	?	place-unknown
obi-v01-n0083-ob-p0128	current_location_original	Mandalay Palace stone 259	place-mandalay-palace-stone-259
obi-v01-n0084-ob-p0129	place_of_origin_original	“Mahathi-kyaung, about a mile S of Bagan” = Kubyauk-nge (IMP 1391), Bagan	place-mahathi-kyaung-about-a-mile-s-of-bagan-kubyauk-nge-imp-1391-bagan
obi-v01-n0084-ob-p0129	current_location_original	in situ	place-in-situ
obi-v01-n0085-ob-p0130	place_of_origin_original	Bagan	place-bagan
obi-v01-n0085-ob-p0130	current_location_original	Bagan Museum stone 18	place-bagan-museum-stone-18
obi-v01-n0086-tx-p0133	place_of_origin_original	Bagan, Dhammayan-gyi	place-bagan-dhammayan-gyi
obi-v01-n0086-tx-p0133	current_location_original	in situ	place-in-situ
obi-v01-n0087-ob-p0133	place_of_origin_original	Kyaungpyu village, Sagaing dist.	place-kyaungpyu-village-sagaing-dist
obi-v01-n0087-ob-p0133	current_location_original	in situ	place-in-situ
obi-v01-n0088-ob-p0134	place_of_origin_original	Kyikan village, Wetlet	place-kyikan-village-wetlet
obi-v01-n0088-ob-p0134	current_location_original	in situ	place-in-situ
obi-v01-n0089-ob-p0136	place_of_origin_original	Kanni monatery, Ywathaya village, Myingun ts., Minbu distr.	place-kanni-monatery-ywathaya-village-myingun-ts-minbu-distr
obi-v01-n0089-ob-p0136	current_location_original	in situ	place-in-situ
obi-v01-n0090-ob-p0137	place_of_origin_original	Pantin temple(?), S of Twin-ywa, Bagan	place-pantin-temple-s-of-twin-ywa-bagan
obi-v01-n0090-ob-p0137	current_location_original	Bagan Museum stone 125	place-bagan-museum-stone-125
obi-v01-n0091-ob-p0138	place_of_origin_original	Bagan ?	place-bagan
obi-v01-n0091-ob-p0138	current_location_original	Mandalay Palace stone 19	place-mandalay-palace-stone-19
obi-v01-n0092-ob-p0139	place_of_origin_original	Mt. Thetso, Bagan	place-mt-thetso-bagan
obi-v01-n0092-ob-p0139	current_location_original	in situ (in collection near IMP 2223)	place-in-situ-in-collection-near-imp-2223
obi-v01-n0093-re-p0140	place_of_origin_original	Kubyauknge (IMP no. 1391), Myinkaba, Bagan	place-kubyauknge-imp-no-1391-myinkaba-bagan
obi-v01-n0093-re-p0140	current_location_original	in situ	place-in-situ
obi-v01-n0094-ob-p0141	place_of_origin_original	Talup town (?)	place-talup-town
obi-v01-n0094-ob-p0141	current_location_original	Mandalay Palace stone 423	place-mandalay-palace-stone-423
obi-v01-n0095-re-p0142	place_of_origin_original	“from the group of monasteries on the W bank of Shwe-chaung”, Wetkyi-in, Bagan	place-from-the-group-of-monasteries-on-the-w-bank-of-shwe-chaung-wetkyi-in-bagan
obi-v01-n0095-re-p0142	current_location_original	New Bagan Museum stone 117	place-new-bagan-museum-stone-117
obi-v01-n0096-ob-p0143	place_of_origin_original	Shwegoncha temple (IMP 1978), Bagan	place-shwegoncha-temple-imp-1978-bagan
obi-v01-n0096-ob-p0143	current_location_original	in situ	place-in-situ
obi-v01-n0097-tx-p0151	place_of_origin_original	Anantathu monastery, Minnanthu, Bagan	place-anantathu-monastery-minnanthu-bagan
obi-v01-n0097-tx-p0151	current_location_original	in situ	place-in-situ
obi-v01-n0097-tx-p0156	place_of_origin_original	Anantathu mon., Minnanthu, Bagan	place-anantathu-mon-minnanthu-bagan
obi-v01-n0097-tx-p0156	current_location_original	in situ	place-in-situ
obi-v01-n0097-tx-p0161	place_of_origin_original	Anantathu mon., Minnanthu, Bagan	place-anantathu-mon-minnanthu-bagan
obi-v01-n0097-tx-p0161	current_location_original	in situ	place-in-situ
obi-v01-n0098-ob-p0164	place_of_origin_original	Kattukan village, Meiktila distr.	place-kattukan-village-meiktila-distr
obi-v01-n0098-ob-p0164	current_location_original	in situ	place-in-situ
obi-v01-n0099-ob-p0164	place_of_origin_original	Bagan, Winidho complex	place-bagan-winidho-complex
obi-v01-n0099-ob-p0164	current_location_original	in situ	place-in-situ
obi-v01-n0100-ob-p0167	place_of_origin_original	Kauk-kwe vill. (OBI) or Sajan-min vill. (IB) near Mahlaing, Meiktila distr.	place-kauk-kwe-vill-obi-or-sajan-min-vill-ib-near-mahlaing-meiktila-distr
obi-v01-n0100-ob-p0167	current_location_original	in situ	place-in-situ
obi-v01-n0101-ob-p0168	place_of_origin_original	?	place-unknown
obi-v01-n0101-ob-p0168	current_location_original	Mandalay Palace stone 33	place-mandalay-palace-stone-33
obi-v01-n0102-ob-p0169	place_of_origin_original	Mahlon	place-mahlon
obi-v01-n0102-ob-p0169	current_location_original	Mandalay Palace stone 353	place-mandalay-palace-stone-353
obi-v01-n0103-ob-p0171	place_of_origin_original	Shagwe village, Wetlet ts., Shwe-bo	place-shagwe-village-wetlet-ts-shwe-bo
obi-v01-n0103-ob-p0171	current_location_original	in situ	place-in-situ
obi-v01-n0104-ob-p0172	place_of_origin_original	Shwemuttaw temple, Talop-myo	place-shwemuttaw-temple-talop-myo
obi-v01-n0104-ob-p0172	current_location_original	Mandalay Palace stone 34	place-mandalay-palace-stone-34
obi-v01-n0105-ob-p0173	place_of_origin_original	Bagan, Mt. Tuyin	place-bagan-mt-tuyin
obi-v01-n0105-ob-p0173	current_location_original	in situ	place-in-situ
obi-v01-n0106-ob-p0174	place_of_origin_original	Kyaukbu village near Meiktila	place-kyaukbu-village-near-meiktila
obi-v01-n0106-ob-p0174	current_location_original	in situ	place-in-situ
obi-v01-n0107-ob-p0175	place_of_origin_original	very likely Bagan	place-very-likely-bagan
obi-v01-n0107-ob-p0175	current_location_original	Mandalay Palace stone 416	place-mandalay-palace-stone-416
obi-v01-n0107-re-p0175	place_of_origin_original	very likely Bagan	place-very-likely-bagan
obi-v01-n0107-re-p0175	current_location_original	Mandalay Palace stone 416	place-mandalay-palace-stone-416
obi-v01-n0108-tx-p0176	place_of_origin_original	Anantathu monastery, Minnanthu, Bagan	place-anantathu-monastery-minnanthu-bagan
obi-v01-n0108-tx-p0176	current_location_original	in situ	place-in-situ
obi-v01-n0109-ob-p0179	place_of_origin_original	Shwepalaung monastery, Myinmu	place-shwepalaung-monastery-myinmu
obi-v01-n0109-ob-p0179	current_location_original	in situ	place-in-situ
obi-v01-n0110-ob-p0183	place_of_origin_original	?	place-unknown
obi-v01-n0110-ob-p0183	current_location_original	Mandalay Palace stone 30	place-mandalay-palace-stone-30
obi-v01-n0111-re-p0184	place_of_origin_original	Bagan	place-bagan
obi-v01-n0111-re-p0184	current_location_original	New Bagan Museum stone I (old PM number 84)	place-new-bagan-museum-stone-i-old-pm-number-84
obi-v01-n0113-ob-p0185	place_of_origin_original	Shinbinsettaw temple, Sale	place-shinbinsettaw-temple-sale
obi-v01-n0113-ob-p0185	current_location_original	in situ	place-in-situ
obi-v01-n0114-ob-p0186	place_of_origin_original	Taungbo village, Meiktila	place-taungbo-village-meiktila
obi-v01-n0114-ob-p0186	current_location_original	in situ	place-in-situ
obi-v01-n0115-ob-p0187	place_of_origin_original	?	place-unknown
obi-v01-n0115-ob-p0187	current_location_original	Mandalay Palace stone 371	place-mandalay-palace-stone-371
obi-v01-n0116-ob-p0188	place_of_origin_original	Nga-man-aung temple between Ye-lay and Ngisu villages, Sale distr.	place-nga-man-aung-temple-between-ye-lay-and-ngisu-villages-sale-distr
obi-v01-n0116-ob-p0188	current_location_original	in situ	place-in-situ
obi-v01-n0117-ob-p0189	place_of_origin_original	Halin	place-halin
obi-v01-n0117-ob-p0189	current_location_original	in situ	place-in-situ
obi-v01-n0119-ob-p0191	place_of_origin_original	?	place-unknown
obi-v01-n0119-ob-p0191	current_location_original	Mandalay Palace stones 477 and 403	place-mandalay-palace-stones-477-and-403
obi-v01-n0121-tx-p0193	place_of_origin_original	Anantathu complex, Minnanthu, Bagan,	place-anantathu-complex-minnanthu-bagan
obi-v01-n0121-tx-p0193	current_location_original	in situ	place-in-situ
obi-v01-n0121-tx-p0198	place_of_origin_original	Bagan	place-bagan
obi-v01-n0121-tx-p0198	current_location_original	Bagan Museum stone 76	place-bagan-museum-stone-76
obi-v01-n0123-ob-p0202	place_of_origin_original	Tamani complex, Bagan	place-tamani-complex-bagan
obi-v01-n0123-ob-p0202	current_location_original	New Bagan Museum stone 159	place-new-bagan-museum-stone-159
obi-v01-n0124-ob-p0203	place_of_origin_original	Shwebontha temple between Milaung-pya and Lay-gan villages E of the Bagan-Kyauk road	place-shwebontha-temple-between-milaung-pya-and-lay-gan-villages-e-of-the-bagan-kyauk-road
obi-v01-n0124-ob-p0203	current_location_original	in situ	place-in-situ
obi-v01-n0125-ob-p0204	place_of_origin_original	?	place-unknown
obi-v01-n0125-ob-p0204	current_location_original	Mandalay Palace stone 223	place-mandalay-palace-stone-223
obi-v01-n0126-ob-p0205	place_of_origin_original	in shed near IMP 2224, Mt. Thetso, Bagan	place-in-shed-near-imp-2224-mt-thetso-bagan
obi-v01-n0126-ob-p0205	current_location_original	in situ	place-in-situ
obi-v01-n0127-ob-p0206	place_of_origin_original	Bagan	place-bagan
obi-v01-n0127-ob-p0206	current_location_original	Bagan Museum stone 81	place-bagan-museum-stone-81
obi-v01-n0128-ob-p0208	place_of_origin_original	Minnanthu, Bagan; now in Anantathu complex	place-minnanthu-bagan-now-in-anantathu-complex
